MS-DRG, MDC, TYPE, MS-DRG Title
1,PRE,SURG,"Heart transplant or implant of heart assist system w MCC"
2,PRE,SURG,"Heart transplant or implant of heart assist system w/o MCC"
3,PRE,SURG,"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R."
4,PRE,SURG,"Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R."
5,PRE,SURG,"Liver transplant w MCC or intestinal transplant"
6,PRE,SURG,"Liver transplant w/o MCC"
7,PRE,SURG,"Lung transplant"
8,PRE,SURG,"Simultaneous pancreas/kidney transplant"
9,PRE,SURG,"Bone marrow transplant"
10,PRE,SURG,"Pancreas transplant"
11,PRE,SURG,"Tracheostomy for face,mouth & neck diagnoses w MCC"
12,PRE,SURG,"Tracheostomy for face,mouth & neck diagnoses w CC"
13,PRE,SURG,"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC"
20,1,SURG,"Intracranial vascular procedures w PDX hemorrhage w MCC"
21,1,SURG,"Intracranial vascular procedures w PDX hemorrhage w CC"
22,1,SURG,"Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC"
23,1,SURG,"Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant"
24,1,SURG,"Cranio w major dev impl/acute complex CNS PDX w/o MCC"
25,1,SURG,"Craniotomy & endovascular intracranial procedures w MCC"
26,1,SURG,"Craniotomy & endovascular intracranial procedures w CC"
27,1,SURG,"Craniotomy & endovascular intracranial procedures w/o CC/MCC"
28,1,SURG,"Spinal procedures w MCC"
29,1,SURG,"Spinal procedures w CC or spinal neurostimulators"
30,1,SURG,"Spinal procedures w/o CC/MCC"
31,1,SURG,"Ventricular shunt procedures w MCC p"
32,1,SURG,"Ventricular shunt procedures w CC"
33,1,SURG,"Ventricular shunt procedures w/o CC/MCC"
34,1,SURG,"Carotid artery stent procedure w MCC"
35,1,SURG,"Carotid artery stent procedure w CC"
36,1,SURG,"Carotid artery stent procedure w/o CC/MCC"
37,1,SURG,"Extracranial procedures w MCC"
38,1,SURG,"Extracranial procedures w CC"
39,1,SURG,"Extracranial procedures w/o CC/MCC"
40,1,SURG,"Periph/cranial nerve & other nerv syst proc w MCC"
41,1,SURG,"Periph/cranial nerve & other nerv syst proc w CC or periph neurostim"
42,1,SURG,"Periph/cranial nerve & other nerv syst proc w/o CC/MCC"
52,1,MED,"Spinal disorders & injuries w CC/MCC"
53,1,MED,"Spinal disorders & injuries w/o CC/MCC"
54,1,MED,"Nervous system neoplasms w MCC"
55,1,MED,"Nervous system neoplasms w/o MCC"
56,1,MED,"Degenerative nervous system disorders w MCC"
57,1,MED,"Degenerative nervous system disorders w/o MCC"
58,1,MED,"Multiple sclerosis & cerebellar ataxia w MCC"
59,1,MED,"Multiple sclerosis & cerebellar ataxia w CC"
60,1,MED,"Multiple sclerosis & cerebellar ataxia w/o CC/MCC"
61,1,MED,"Acute ischemic stroke w use of thrombolytic agent w MCC"
62,1,MED,"Acute ischemic stroke w use of thrombolytic agent w CC"
63,1,MED,"Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC"
64,1,MED,"Intracranial hemorrhage or cerebral infarction w MCC"
65,1,MED,"Intracranial hemorrhage or cerebral infarction w CC"
66,1,MED,"Intracranial hemorrhage or cerebral infarction w/o CC/MCC"
67,1,MED,"Nonspecific cva & precerebral occlusion w/o infarct w MCC"
68,1,MED,"Nonspecific cva & precerebral occlusion w/o infarct w/o MCC"
69,1,MED,"Transient ischemia"
70,1,MED,"Nonspecific cerebrovascular disorders w MCC"
71,1,MED,"Nonspecific cerebrovascular disorders w CC"
72,1,MED,"Nonspecific cerebrovascular disorders w/o CC/MCC"
73,1,MED,"Cranial & peripheral nerve disorders w MCC"
74,1,MED,"Cranial & peripheral nerve disorders w/o MCC"
75,1,MED,"Viral meningitis w CC/MCC"
76,1,MED,"Viral meningitis w/o CC/MCC"
77,1,MED,"Hypertensive encephalopathy w MCC"
78,1,MED,"Hypertensive encephalopathy w CC"
79,1,MED,"Hypertensive encephalopathy w/o CC/MCC"
80,1,MED,"Nontraumatic stupor & coma w MCC"
81,1,MED,"Nontraumatic stupor & coma w/o MCC"
82,1,MED,"Traumatic stupor & coma, coma >1 hr w MCC"
83,1,MED,"Traumatic stupor & coma, coma >1 hr w CC"
84,1,MED,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC"
85,1,MED,"Traumatic stupor & coma, coma <1 hr w MCC"
86,1,MED,"Traumatic stupor & coma, coma <1 hr w CC"
87,1,MED,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC"
88,1,MED,"Concussion w MCC"
89,1,MED,"Concussion w CC"
90,1,MED,"Concussion w/o CC/MCC"
91,1,MED,"Other disorders of nervous system w MCC"
92,1,MED,"Other disorders of nervous system w CC y"
93,1,MED,"Other disorders of nervous system w/o CC/MCC"
94,1,MED,"Bacterial & tuberculous infections of nervous system w MCC"
95,1,MED,"Bacterial & tuberculous infections of nervous system w CC"
96,1,MED,"Bacterial & tuberculous infections of nervous system w/o CC/MCC"
97,1,MED,"Non-bacterial infect of nervous sys exc viral meningitis w MCC"
98,1,MED,"Non-bacterial infect of nervous sys exc viral meningitis w CC"
99,1,MED,"Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC"
100,1,MED,"Seizures w MCC"
101,1,MED,"Seizures w/o MCC"
102,1,MED,"Headaches w MCC"
103,1,MED,"Headaches w/o MCC"
113,2,SURG,"Orbital procedures w CC/MCC"
114,2,SURG,"Orbital procedures w/o CC/MCC"
115,2,SURG,"Extraocular procedures except orbit"
116,2,SURG,"Intraocular procedures w CC/MCC"
117,2,SURG,"Intraocular procedures w/o CC/MCC"
121,2,MED,"Acute major eye infections w CC/MCC"
122,2,MED,"Acute major eye infections w/o CC/MCC"
123,2,MED,"Neurological eye disorders"
124,2,MED,"Other disorders of the eye w MCC"
125,2,MED,"Other disorders of the eye w/o MCC"
129,3,SURG,"Major head & neck procedures w CC/MCC or major device"
130,3,SURG,"Major head & neck procedures w/o CC/MCC"
131,3,SURG,"Cranial/facial procedures w CC/MCC"
